3026,3582
2908,4012
2924,3557
3030,3694
2929,3812
3085,3667
3027,3688
3019,3667
2824,3719
3079,3491
2913,3684
2890,4051
2788,3430
2949,3751
2716,3885
3214,3675
3051,3649
3104,3390
2861,3727
2721,3797
2775,3928
2926,3777
2886,3620
3018,3820
3007,3629
3072,3770
3074,3634
2976,3591
3022,3637
2873,3823
2956,3938
2927,3766
2711,3795
3044,3761
2925,3733
2812,3833
3123,3447
2997,3728
2892,3912
2992,3800
2945,3487
2930,3649
3005,3712
2760,3844
2890,3745
3097,3865
3159,3813
2791,3600
2820,3687
3212,3868
2800,3475
3075,3901
3064,3720
2937,3518
3055,3779
2920,3566
2800,3822
3029,3796
2973,3722
2986,3642
2958,3820
2907,3797
3182,3775
2866,3774
3027,3617
3146,3495
2952,3940
2820,4033
3090,3751
3037,3712
2858,3631
2868,3613
2867,3586
3158,3674
2915,3816
2888,3837
3264,3774
2959,3506
3140,3823
2884,3695
2973,3704
2990,3693
2995,3784
2932,3786
2906,3688
3220,3659
3150,3521
2791,3553
2941,3697
3189,3633
2919,3668
3070,3563
3109,3439
2791,3923
3198,3740
3028,3750
2967,3878
2946,3713
3019,3593
3074,3843
2905,3631
2997,3309
2956,3888
3015,3737
3182,3895
3247,3891
3167,3613
2880,3851
3092,3697
2936,3733
3198,3608
2933,3696
3066,3617
3099,3933
2935,3717
3023,3842
2825,3949
3185,3661
2992,3870
2983,3689
3066,3823
3056,3962
2925,3852
3090,3693
2868,3443
3154,3618
3115,3547
2869,3581
2914,3811
2983,3766
2798,3761
3093,3749
3100,3591
3097,3712
2819,3733
3020,3436
2932,3834
2972,3505
3204,3677
2885,3876
3012,3574
2921,3688
2846,3729
3063,3874
3119,3675
3019,3840
2962,3531
2910,3734
2988,3651
2932,3933
3076,3883
3084,3858
3067,3869
3110,3871
3216,3849
2950,3683
3204,3876
3312,3519
3057,3775
3116,3661
3039,3676
2989,3765
2938,3640
3089,3613
2771,3564
3197,3680
2999,3726
3057,3722
3187,3514
3116,3832
3012,3648
3096,3683
2976,3829
2865,3828
3093,3515
3131,3811
2940,3599
3078,3744
3150,3649
3003,3586
2924,3683
3013,3597
3096,3870
2848,3791
2833,3701
3058,3817
3090,3637
3175,3712
2957,3444
2897,3636
3329,3750
2844,3561
2938,3850
3064,3775
2950,3750
2972,3685
3179,3693
3096,3889
2813,3646
2889,3637
3034,3775
3112,3629
2922,3562
3195,3781
2954,3538
2963,3708
3041,3865
2760,3675
2981,3541
2941,3579
2966,4002
3114,4015
2936,3787
3120,3805
3058,3875
2829,3791
3074,4008
3034,3601
3282,3779
3220,3746
2984,3652
3110,3807
2912,3459
3034,3821
3287,3837
2863,3640
3069,3521
3079,3857
2943,3996
3110,3387
3126,3713
3109,3798
2912,3643
2869,3692
2989,3643
3100,3940
2944,3761
3250,3685
2920,3663
2743,3613
3416,3811
3029,3840
2932,3721
2921,3695
3101,3617
3032,3909
2957,3547
3209,3837
2730,3590
3182,3863
3237,3668
2941,3703
3097,3649
3017,3796
3058,3565
2937,3687
3025,3770
3047,3564
2987,3671
2940,3735
2912,3599
3112,3617
3198,3575
3236,3854
3155,3791
3025,3660
3102,3720
3050,3497
2794,3866
2902,3742
3020,3488
3027,3733
3099,3792
2927,3974
3165,3724
2977,3673
3060,3783
3169,3746
3375,3707
2951,3675
2823,3659
3093,3743
2973,3889
3113,3779
3054,3665
2837,3755
3224,3494
2996,3832
2931,3834
3056,3643
3048,3750
3037,3486
2973,3793
2773,3527
3080,3823
2813,3599
3074,3885
3015,3933
3121,3705
3040,3684
2997,3486
2875,3625
3349,3891
2809,3796
3186,3807
3100,3523
2965,3786
3221,3683
3280,3820
3362,3717
3021,3819
3017,3862
2967,3421
3055,4084
2938,3606
3031,3588
3117,3690
3007,3479
2936,3632
3019,3752
3212,3660
